hand,sample,simulation_time_s,tracking_time_s,loop_progress,desired_x_m,desired_y_m,desired_z_m,measured_x_m,measured_y_m,measured_z_m,error_x_m,error_y_m,error_z_m,error_norm_m
shadow_hand,2279,53.58000000001952,45.58000000001952,1.4508564612263393,0.3924691177566975,0.057365271173213966,-0.07847132143305678,0.3934129869266894,0.057714555556905175,-0.0789085253812899,0.0009438691699918955,0.00034928438369120907,-0.00043720394823311415,0.0010972856889171394
shadow_hand,2280,53.60000000001954,45.60000000001954,1.4514930809987077,0.39246307798868124,0.05734620495520992,-0.07847132143305678,0.39340666267465435,0.05769614269283736,-0.07890888447295202,0.000943584685973109,0.00034993773762743985,-0.0004375630398952418,0.001097392315309865
shadow_hand,2281,53.620000000019566,45.620000000019566,1.452129700771076,0.3924571145336517,0.05732711473072778,-0.07847132143305678,0.39340035604743806,0.057677677255073355,-0.07890924996374428,0.0009432415137863859,0.0003505625243455726,-0.00043792853068749804,0.0010974424972615576
shadow_hand,2282,53.64000000001959,45.64000000001959,1.4527663205434445,0.39245122748702405,0.05730800080521073,-0.07847132143305678,0.3933940663921147,0.05765916161552796,-0.07890962293412661,0.0009428389050906705,0.0003511608103172331,-0.00043830150106982657,0.001097436705006395
shadow_hand,2283,53.660000000019615,45.660000000019615,1.4534029403158126,0.39244541694299084,0.05728886348448115,-0.07847132143305678,0.3933877945133962,0.057640598680652966,-0.07891000207018087,0.0009423775704053838,0.00035173519617181376,-0.00043868063712408645,0.001097375885837106
shadow_hand,2284,53.68000000001964,45.68000000001964,1.454039560088181,0.39243968299452076,0.05726970307473579,-0.07847132143305678,0.393381542143737,0.05762199162668814,-0.07891038462823165,0.0009418591492162398,0.0003522885519523511,-0.0004390631951748658,0.0010972613044102966
shadow_hand,2285,53.700000000019664,45.700000000019664,1.4546761798605494,0.3924340257333568,0.05725051988254078,-0.07847132143305678,0.39337531123866953,0.057603343394771536,-0.07891076724372065,0.00094128550531275,0.000352823512230753,-0.000439445810663866,0.0010970940952373894
shadow_hand,2286,53.72000000001969,45.72000000001969,1.4553127996329178,0.392428445250015,0.057231314214826794,-0.07847132143305678,0.3933691044437885,0.05758465630775277,-0.07891114645458275,0.0009406591937734521,0.00035334209292597896,-0.00043982502152596636,0.0010968757463925205
shadow_hand,2287,53.74000000001971,45.74000000001971,1.4559494194052862,0.39242294163378305,0.05721208637888411,-0.07847132143305678,0.3933629244291886,0.057565932096599576,-0.07891151909678289,0.0009399827954055251,0.00035384571771546885,-0.00044019766372610514,0.0010966076922737144
shadow_hand,2288,53.76000000001974,45.76000000001974,1.4565860391776546,0.3924175149727186,0.057192836682357674,-0.07847132143305678,0.39335677377500883,0.05754717206057164,-0.0789118824796815,0.0009392588022902326,0.0003543353782139644,-0.00044056104662472395,0.001096291336158773
